=== Alloc/Free Latency Benchmark ===

Malloc latency (ns):
      size       avg       p50       p99      p999
        16        29        30        31        50
        32        26        30        31        40
        64        26        30        31        40
       128        26        30        31        40
       256        26        30        31        50
       512        26        30        31        31
      1024        26        30        31        31
      4096        27        30        40        50
     16384        28        30        31        40

Free latency (ns):
      size       avg       p50       p99      p999
        16        35        30       270       300
        32        36        30       280       370
        64        36        30       280       370
       128        36        30       280       371
       256        36        30       280       360
       512        35        30       280       351
      1024        35        30       271       330
      4096        35        30       290       380
     16384        44        30       510       730
