config,run,fill_rss,cool_rss,min_rss
system_malloc,1,233.6,236.6,233.6
system_malloc,2,233.6,236.6,233.6
system_malloc,3,233.6,236.6,233.6
jemalloc,1,237.0,243.0,237
jemalloc,2,237.0,243.0,237
jemalloc,3,237.0,243.0,237
mimalloc,1,260.8,265.0,260.8
mimalloc,2,260.8,265.1,260.8
mimalloc,3,260.8,265.0,260.8
sys+compress,1,258.0,261.0,258
sys+compress,2,258.0,261.0,258
sys+compress,3,258.0,261.0,258
je+compress,1,FAIL,0,0
je+compress,2,FAIL,0,0
je+compress,3,FAIL,0,0
mi+compress,1,285.2,289.4,285.2
mi+compress,2,285.0,289.2,285
mi+compress,3,285.2,289.5,285.2
smash_noopt,1,267.6,121.5,121.5
smash_noopt,2,267.3,121.1,121.1
smash_noopt,3,267.7,121.6,121.6
full_smash,1,267.6,121.3,121.3
full_smash,2,267.7,121.4,121.4
full_smash,3,267.1,121.6,121.6
